kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (4884425),"Domov bez zámku Náměšť nad Oslavou, příspěvková organizace","V. Nezvala 115, 675 71 Náměšť nad Oslavou",71184601,"Domov bez zámku Náměšť nad Oslavou, příspěvková organizace",Mgr. Hana Šeráková,"Na Výsluní 678, 595 01 Velká Bíteš",1.1.2013,pobytové,"osoby s kombinovaným postižením
Prioritní cílovou skupinou jsou klienti z Kraje Vysočina.
osoby s mentálním postižením
Prioritní cílovou skupinou jsou klienti z Kraje Vysočina.",- dorost (od 18 let) - mladí dospělí (19 – 26 let) - dospělí (27 - 64 let) - mladší senioři (65 - 80 let) - starší senioři (nad 80 let),počet klientů - 2,poskytuje nepřetržitě,"['739 323 711', '568 619 453', '568 619 450', 'reditelka@domovbz.cz', 'http://www.domovbezzamku.cz']"
odlehčovací služby,Odlehčovací služby (6600341),"Domov důchodců ""U Zlatého kohouta""","Zborovská 857, 373 41 Hluboká nad Vltavou",62534424,"Domov důchodců ""U Zlatého kohouta""",Jiří Slepička,"Zborovská 857, 373 41 Hluboká nad Vltavou",1.1.1995,pobytové,"osoby se zdravotním postižením
Uživatelé v nepříznivé sociální situaci, kteří nejsou pro svůj věk, ztrátu soběstačnosti, nemoc, zdravotní postižení, krizovou situaci schopni sami si zabezpečit a uspokojit životní potřeby a vyžadují pravidelnou pomoc jiné fyzické osoby.
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 6,poskytuje nepřetržitě,"['387966160', '387966160', 'domov.duchodcu@hluboka.cz', 'http://www.hluboka.cz']"
odlehčovací služby,Odlehčovací služby (9614059),Domov důchodců Ústí nad Orlicí,"Cihlářská 761, Ústí nad Orlicí, 562 01 Ústí nad Orlicí 1",70857130,Domov důchodců Ústí nad Orlicí,"Mgr.Bc. Jan Vojvodík, MBA","Cihlářská 761, Ústí nad Orlicí, 562 01 Ústí nad Orlicí 1",1.7.2015,pobytové,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['734 793 446', 'info@dduo.cz', 'www.dduo.cz']"
odlehčovací služby,Odlehčovací služby (7917426),Domov Jitka o.p.s.,"Jasenická 1362, Vsetín, 755 01 Vsetín 1",28634764,Domov Jitka o.p.s.,Markéta Koudelová,"Jasenická 1362, Vsetín, 755 01 Vsetín 1",12.1.2011,pobytové,"osoby s kombinovaným postižením
Jedná se o osoby s mentálním postižením doplněným o postižení tělesné, případně v kombinaci s chronickým duševním onemocněním
osoby s mentálním postižením","starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet klientů - 2,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (4746463),"Domov Kopretina Černovice, příspěvková organizace","Dobešovská 1, Černovice, 394 94 Černovice u Tábora",70659001,"Domov Kopretina Černovice, příspěvková organizace",Ing. František Vránek,"Dobešovská 1, Černovice, 394 94 Černovice u Tábora",1.1.1962,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením","děti předškolního věku (1 - 6 let)
mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet lůžek - 10,poskytuje nepřetržitě,"['565427111', '565427198', 'info@domovkopretina.cz', 'www.domovkopretina.cz']"
odlehčovací služby,Odlehčovací služby (7948275),"Domov Kytín, poskytovatel sociálních služeb","Kytín 2, 252 10 Mníšek pod Brdy",69344035,Odlehčovací služba Kytín,Mgr. Renata Honsů,"Kytín 2, 252 10 Mníšek pod Brdy",1.10.2013,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 2,poskytuje nepřetržitě,"['311 363 906', '311 363 901', '318 592 723', 'romana.stepanova@ddkytin.cz', 'http://www.ddkytin.cz']"
odlehčovací služby,Odlehčovací služby (9020344),"Domov Na Výsluní, Hořovice","Pražská 932/48a, 268 01 Hořovice",70539456,"Domov Na Výsluní, Hořovice",PhDr. Drahomíra Boubínová,"Pražská 932/48a, 268 01 Hořovice",1.5.2008,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 5,poskytuje nepřetržitě,"['311 514 895', '311 514 706', 'domov@seniori-navysluni.cz', 'http://www.seniori-navysluni.cz']"
odlehčovací služby,Odlehčovací služby (6466123),Domov pod hradem Žampach,"Žampach 1, 564 01 Žamberk",854271,"Domov pod hradem Žampach - odlehčovací služba - Zámek, kapacita 2 lůžka.",PaedDr. Luděk Grätz,"Žampach 1, 564 01 Žamberk",11.4.2011,pobytové,"osoby s mentálním postižením
Služba se poskytuje osobám s mentálním postižením, dále osobám s mentálním postižením s přidruženým tělesným nebo smyslovým postižením; ve vyčleněné kapacitě osobám s mentálním postižením, které může být kombinováno s poruchami autistického spektra, a které potřebují vysokou míru kvalifikované individuální podpory během celého dne z důvodu náročného chování a nemohou využívat tuto službu za běžných podmínek (tzv.speciálizovaná služba); služba je určena pro osoby, o které jinak pečuje v jejich přirozeném sociálním prostředí osoba blízká a tato pečující osoba z důvodu odpočinku požádá o dočasné převzetí péče o tuto osobu",Služba se poskytuje osobám od 3 let. Služba pro osoby s náročným chováním (vyčleněná kapacita) je poskytována osobám od 7 do 26 let věku.,"počet lůžek - 3
Kapacita služby v budově Na Výsluní na adrese Žampach 2 je v počtu 1 lůžko vyčleněna pro poskytování specializované služby pro osoby od 7 do 26 let s náročným chováním, které potřebují vysokou míru kvalifikované individuální podpory během celého dne.",poskytuje nepřetržitě,"['465 618 184', '465 618 134', '465 618 137', '465 618 010', 'uspza@uspza.cz', 'http://www.uspza.cz']"
odlehčovací služby,Odlehčovací služby (5811973),"Domov pod Vinnou horou, příspěvková organizace","Dlouhoveská 1915/91, 748 01 Hlučín",71295046,"Domov pod Vinnou horou, příspěvková organizace",Mgr. Marcela Mikulová,"Dlouhoveská 1915/91, 748 01 Hlučín",13.6.2014,pobytové,"osoby s jiným zdravotním postižením
senioři",od 60 let,počet klientů - 1,poskytuje nepřetržitě,"['595 020 571', 'recepce@ddhlucin.cz', 'www.ddhlucin.cz']"
odlehčovací služby,Odlehčovací služby (8908504),"Domov pro seniory a dům s pečovatelskou službou Mariánské Lázně, příspěvková organizace","Tepelská 752/22, Úšovice, 353 01 Mariánské Lázně 1",575143,"Domov pro seniory a dům s pečovatelskou službou Mariánské Lázně, příspěvková organizace",Bc. Lucie Bubnová,"Tepelská 752/22, Úšovice, 353 01 Mariánské Lázně 1",1.6.2009,pobytové,"osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 3,poskytuje nepřetržitě,"['354624000', 'ods.sluzby@dsml.cz', 'reditel@dsml.cz', 'www.dsml.cz']"
odlehčovací služby,Odlehčovací služby (5674949),Domov pro seniory Elišky Purkyňové,"Cvičebná 2447/9, Praha 6-Břevnov, 169 00 Praha 69",70875316,Domov pro seniory Elišky Purkyňové,Eva Kalhousová,"Cvičebná 2447/9, Dejvice, 169 00 Praha 69",1.1.2001,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 20
do 31. 12. 2018 počet klintů - 19",poskytuje nepřetržitě,"['224 311 364', 'info@ddpraha6.cz', 'www.ddpraha6.cz']"
odlehčovací služby,Odlehčovací služby (4734424),Domov pro seniory Háje,"K Milíčovu 734/1, Praha 11-Háje, 149 00 Praha 415",70875111,Domov pro seniory Háje,Dagmar Zavadilová,"K Milíčovu 734/1, Praha 11-Háje, 149 00 Praha 415",1.1.2011,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 20,poskytuje nepřetržitě,"['271 198 371', '271 198 404', 'gottliebova@dshaje.cz', 'www.dshaje.cz']"
odlehčovací služby,Odlehčovací služby (5472875),"Domov pro seniory Humpolec, příspěvková organizace","Máchova 210, 396 01 Humpolec",511862,"Domov pro seniory Humpolec, příspěvková organizace",Mgr. Petr Vaněk,"Máchova 210, 396 01 Humpolec",1.7.2017,pobytové,senioři,- dospělí (60 - 64 let) - mladší senioři (65 - 80 let) - starší senioři (nad 80 let),počet lůžek - 2,poskytuje nepřetržitě,"['565535630', 'dduchhumpolec@email.cz', 'www.ddhum.cz']"
odlehčovací služby,Odlehčovací služby (3195464),"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace","U Hvízdala 1327/6, České Budějovice 2, 370 11 České Budějovice 11",666238,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",neuveden,"U Hvízdala 1327/6, České Budějovice 2, 370 11 České Budějovice 11",1.1.2007,pobytové,"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
senioři",od 40 let věku,počet lůžek - 4,poskytuje nepřetržitě,"['385521296', '385520597', 'h.cermakova@domovproseniory-hvizdal.cz', 'http://www.domovproseniory-hvizdal.cz']"
odlehčovací služby,Odlehčovací služby (6982016),Domov pro seniory Kladno,"Fr. Kloze 1178, Kladno, 272 01 Kladno 1",66318475,Domov pro seniory Kladno,Radim Král,"Fr. Kloze 1178, Kladno, 272 01 Kladno 1",1.7.2014,pobytové,senioři,od 60 ti let a výše,počet lůžek - 2,poskytuje nepřetržitě,"['312 242 459', 'dskladno@dskladno.cz', 'www.domov-kladno.cz']"
odlehčovací služby,Odlehčovací služby (7427732),"Domov pro seniory Máj České Budějovice, příspěvková organizace","Větrná 731/13, České Budějovice 2, 370 05 České Budějovice 5",71173064,"Domov pro seniory Máj České Budějovice, příspěvková organizace",Ing. Pavel Janda,"Tylova 13/9, České Budějovice 7, 370 01 České Budějovice 1",17.3.2008,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s kombinovaným postižením
osoby se zdravotním postižením
senioři",- dospělí od 27 let,"počet lůžek - 24
Tylova 13/9 - 14lůžek a Tylova 14/11 - 10 lůžek",poskytuje nepřetržitě,"['388902111', '389106931', 'p.janda@ddmajcb.cz', 'http://www.ddmajcb.cz']"
odlehčovací služby,Odlehčovací služby (3316135),Domov pro seniory Pod Skalkou,"Skalecké náměstí 500, 252 10 Mníšek pod Brdy",47002654,Domov pro seniory Pod Skalkou,Jan Daniel,"Skalecké náměstí 500, 252 10 Mníšek pod Brdy",1.7.2015,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 10,poskytuje nepřetržitě,"['318 592 274', '731 411 920', 'jan.daniel@mnisek.cz']"
odlehčovací služby,Odlehčovací služby (9714246),"Domov pro seniory Podbořany, příspěvková organizace","Nádražní 933, 441 01 Podbořany",65650964,"Domov pro seniory Podbořany, příspěvková organizace",Ing. Marie Henlínová,"Nádražní 933, 441 01 Podbořany",1.1.2014,pobytové,senioři,"Služba je poskytována seniorům od 60 let v nepříznivé sociální situaci, kteří žijí se svými rodinami, ale ty jsou soustavnou péčí o ně vyčerpány a potřebují určitou dobu k odpočinku, regeneraci sil či k vyřešení různých záležitostí nebo seniorům, kteří žijí osaměle a po přechodnou dobu potřebují péči jiné osoby.","počet lůžek - 3
Pobyt je umožněn na dvoulůžkovém pokoji 2 osobám stejného pohlaví nebo manželům a na 1 lůžkovém pokoji. účinnost kapacity od 01.07.2018",poskytuje nepřetržitě,"['415214423', '415214424', 'henlinova@domovpodborany.cz', 'http://www.domovpodborany.cz']"
odlehčovací služby,Odlehčovací služby (5326682),"Domov pro seniory Třebíč - Manž. Curieových, příspěvková organizace","Manž. Curieových 603, Nové Dvory, 674 01 Třebíč 1",71184562,"Domov pro seniory Třebíč - Manž. Curieových, příspěvková organizace",Mgr. Zuzana Malásková,"Manž. Curieových 603, Nové Dvory, 674 01 Třebíč 1",1.1.2007,pobytové,"senioři
Naše sociální služba je určena pro seniory od 65 let, kteří mají sníženou soběstačnost z důvodu věku, chronického onemocnění nebo zdravotního postižení, ale jinak mají zajištěnou péči v domácím prostředí. Účelem této služby je odlehčit pečující osobě a umožnit jí nezbytný odpočinek. Prioritní cílovou skupinou jsou klienti z Kraje Vysočina.","mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 2,poskytuje nepřetržitě,"['568858911', '568858926', 'info@ddtrebic.cz', 'www.ddtrebic.cz']"
odlehčovací služby,Odlehčovací služby (1878615),Domov pro seniory Vrchlabí,"Žižkova 590, Vrchlabí, 543 01 Vrchlabí 1",194891,Domov pro seniory Vrchlabí,Ing. Soňa Mašková,"Žižkova 590, Vrchlabí, 543 01 Vrchlabí 1",1.9.2011,pobytové,"senioři
Senioři, kteří mají bydliště v Královéhradeckém kraji, případně s prokázanou vazbou na Královéhradecký kraj",- senioři od 60 let výše.,počet lůžek - 3,poskytuje nepřetržitě,"['499 405 250', '499 405 253', 'dd.vrchlabi@volny.cz', 'http://www.domov-vrchlabi.cz']"
odlehčovací služby,Odlehčovací služby (2497406),Domov Ráček o.p.s.,"Na Sekyře 1765, Rakovník II, 269 01 Rakovník 1",27115071,Domov Ráček o.p.s.,Ilona Hrušková,"Pražská 97, Rakovník II, 269 01 Rakovník 1",1.1.2007,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
osoby se zrakovým postižením","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet lůžek - 3,poskytuje nepřetržitě,"['313519920', 'IlonaHruskova@seznam.cz', 'http://DomovRacek.cz']"
odlehčovací služby,Odlehčovací služby (2128353),"Domov seniorů Břeclav, příspěvková organizace","Na Pěšině 2842/13, Břeclav, 690 03 Břeclav 3",48452734,"Domov seniorů Břeclav, příspěvková organizace",PhDr. David Malinkovič,"Na Pěšině 2842/13, Břeclav, 690 03 Břeclav 3",1.3.2009,pobytové,"osoby s chronickým duševním onemocněním
Pouze senioři s Alzheimerovou demencí a jinými typy demence.
senioři",Sociální služba je určena pro osoby od 60 let.,počet lůžek - 4,poskytuje nepřetržitě,"['519 305 203', '519 305 205', '519 326 142', '519 326 739', 'socialni@dsbreclav.cz', 'http://www.dsbreclav.cz']"
odlehčovací služby,Odlehčovací služby (2108418),"Domov seniorů Jankov, poskytovatel sociálních služeb","Školní 161, 257 03 Jankov",71229124,"Domov seniorů Jankov, poskytovatel sociálních služeb",neuveden,"Školní 161, 257 03 Jankov",1.1.2007,pobytové,"osoby se zdravotním postižením
senioři",- 55 let a výše,"počet lůžek - 3
Služba je poskytována osobám , kteří mají sníženou soběstačnost z důvodu věku a o které je pečováno v přirozeném sociálním prostředí. Cílem služby je umožnit pečující osobě nezbytný odpočinek.Věková hranice od 55 let a výše.",poskytuje nepřetržitě,"['317 833 391', '317 833 391', 'info@ddjankov.cz', 'd.hlavata@ddjankov.cz', 'http://www.ddjankov.cz']"
odlehčovací služby,Odlehčovací služby (3532481),"Domov seniorů Seč, s.r.o.","Seč 526, 538 07 Seč",3571335,"Domov seniorů Seč, s.r.o.- odlehčovací služby",Renáta Hanausková,"Seč 526, 538 07 Seč 1",21.1.2016,pobytové,"osoby s tělesným postižením
senioři",Služba je určena uživatelům od dovršení 60-ti let věku.,počet lůžek - 3,poskytuje nepřetržitě,"['725 500 661', '702 164 882', 'info@dssec.cz', 'www.dssec.cz']"
odlehčovací služby,Odlehčovací služby (7671346),"Domov seniorů TGM, příspěvková organizace","Pod Studánkou 1884, Beroun-Město, 266 01 Beroun 1",72541121,"Domov seniorů Beroun, příspěvková organizace","Mgr. Ondřej Šimon, MPA","Pod Studánkou 1884, Beroun-Město, 266 01 Beroun 1",1.12.2011,pobytové,"osoby se zdravotním postižením
senioři",od věku 55-ti let a výše,počet lůžek - 7,poskytuje nepřetržitě,"['77779212', 'simon.ondrej@seniori-beroun.cz', 'www.seniori-beroun.cz']"
odlehčovací služby,Odlehčovací služby (9196740),"Domov seniorů Úvaly, poskytovatel sociálních služeb","nám. Svobody 1475, 250 82 Úvaly",71229043,"Domov seniorů Úvaly, poskytovatel sociálních služeb",Bc. Zdenka Jordánová,"nám. Svobody 1475, 250 82 Úvaly",1.10.2007,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (8733966),Domov sociálních služeb Slatiňany,"Klášterní 795, 538 21 Slatiňany",15053814,"Domov sociálních služeb Slatiňany, odlehčovací služby,kapacita - 1 lůžko.",Ing. Miroslav Kubín,"Klášterní 795, 538 21 Slatiňany",16.5.2012,pobytové,osoby s mentálním postižením,Služba je poskytovaná uživatelům od 3 do 80 let.,počet lůžek - 2,poskytuje nepřetržitě,"['469 681 461', '469 681 215', 'dss@dss.cz', 'http://www.dss.cz']"
odlehčovací služby,Odlehčovací služby (3677490),Domov sv. Karla Boromejského,"K šancím 50/6, Praha 17-Řepy, 163 00 Praha 618",65400143,Domov sv. Karla Boromejského - ODLEHČOVACÍ SLUŽBA,Mgr. SM Konsoláta Miroslava Frýdecká,"K šancím 50/6, Praha 17-Řepy, 163 00 Praha 618",1.9.1996,pobytové,"osoby se zdravotním postižením
pro osoby starší 60 let
senioři",starší 60 let,počet lůžek - 13,poskytuje nepřetržitě,"['235 323 248', '235 302 720', 'sekretariat@domovrepy.cz', 'http://domovrepy.cz']"
